Hs Code,国家全称,Region,Income Group,2024年世界进口额,可用年平均增长率（AAGR）,2024年向中国进口金额占总进口额比重,2024年人均GDP,2024年治理水平,2023 Average Tariff Raw（%）,置信度,市场规模-标准得分,市场成长性-标准得分,市场成熟度-标准得分,营商环境质量-标准得分,中国供应链匹配度-标准得分,关税友好度-标准得分,市场质量-标准得分,稳健发展型_base_score,稳健发展型_final_score,潜力增长型_base_score,潜力增长型_final_score,国货蓝海型_base_score,国货蓝海型_final_score
820150,Albania,Europe & Central Asia,Upper middle income,106.78,2.34,0.99,9442.0,55.25938775,10.0,2.0,42.6595,100.0,50.6556,47.7388,100.0,64.9307,49.197199999999995,56.88945,48.3560325,69.304785,58.90906724999999,78.66488,72.3716896
820150,Andorra,Europe & Central Asia,High income,1.87,-0.01,0.04,48432.0,76.990553,30.0,3.0,0.0,3.4453,88.8086,82.337,1.0417,0.0,85.5728,30.347095,21.242966499999998,9.867305,6.9071134999999995,9.43867,7.928482799999999
820150,Angola,Sub-Saharan Africa,Lower middle income,144.56,6.67,0.53,2371.0,40.8737194,0.0,1.0,46.5176,100.0,18.4152,24.8354,52.0833,100.0,21.6253,51.45418,51.45418,69.3485,69.3485,70.04344499999999,70.04344499999999
820150,Argentina,Latin America & Caribbean,Upper middle income,714.21,0.1,0.43,13858.0,54.4269792,18.0,1.0,66.9575,8.4649,59.6089,46.4136,41.6667,36.8753,53.011250000000004,50.4501825,50.4501825,29.849194999999998,29.849194999999998,38.912544999999994,38.912544999999994
820150,Armenia,Europe & Central Asia,Upper middle income,205.98,0.3,0.14,8722.0,53.18181515,9.0,2.0,51.0375,17.5897,48.8047,44.4311,11.4583,68.4377,46.6179,46.77693,39.7603905,33.30718,28.311103000000003,36.94571,33.9900532
820150,Aruba,Latin America & Caribbean,High income,48.89,0.43,0.02,35714.0,73.3457880166667,6.0,2.0,32.7698,23.5181,81.7001,76.5342,0.0,78.9584,79.11715000000001,53.3560025,45.352602125000004,36.8502,31.32267,38.40393,35.331615600000006
820150,Australia,East Asia & Pacific,High income,7301.43,0.08,0.51,68583.0,83.153201,0.0,1.0,96.7879,7.5523,96.9269,92.1485,50.0,100.0,94.5377,85.21918999999998,85.21918999999998,51.61526,51.61526,67.765405,67.765405
820150,Austria,Europe & Central Asia,High income,7703.18,0.0,0.02,57377.0,78.7659543666667,1.7,1.0,97.4755,3.9016,92.7637,85.1636,0.0,94.0382,88.96365,79.74959249999999,79.74959249999999,43.69089,43.69089,47.440615,47.440615
820150,Azerbaijan,Europe & Central Asia,Upper middle income,209.82,0.38,0.27,7189.0,47.7258799666667,15.0,2.0,51.2735,21.2383,44.2944,35.7447,25.0,47.3961,40.01955,42.4358125,36.070440624999996,31.105604999999997,26.439764249999996,35.283879999999996,32.4611696
820150,"Bahamas, The",Latin America & Caribbean,High income,97.56,1.85,0.03,36749.0,67.1215922833333,25.0,2.0,41.5113,87.8499,82.3667,66.6246,0.0,12.3268,74.49565,51.2364425,43.550976125,46.889084999999994,39.85572224999999,28.47622,26.198122400000003
820150,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,20.79,2.9,0.63,28305.0,56.7693615666667,5.0,1.0,22.1342,100.0,76.2744,50.1429,62.5,82.4654,63.20865,55.3648075,55.3648075,67.384075,67.384075,70.148905,70.148905
820150,Barbados,Latin America & Caribbean,High income,36.5,0.15,0.03,25349.0,71.4890781666667,0.0,2.0,29.1045,10.7465,73.7005,73.5781,0.0,100.0,73.6393,52.03498,44.229732999999996,35.490880000000004,30.167248000000004,41.886355,38.5354466
820150,Belgium,Europe & Central Asia,High income,3790.67,-0.02,0.24,56727.0,76.1162218,1.7,1.0,88.3731,2.989,92.4978,80.945,21.875,94.0382,86.72139999999999,76.781455,76.781455,43.969395,43.969395,53.825509999999994,53.825509999999994
820150,Bolivia,Latin America & Caribbean,Lower middle income,134.48,0.29,0.04,3898.0,40.51303425,10.0,1.0,45.5962,17.1336,30.0132,24.2612,1.0417,64.9307,27.1372,36.96174,36.96174,28.64022,28.64022,29.687185,29.687185
820150,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,300.12,0.09,0.08,9074.0,47.4241911,10.0,2.0,55.8507,8.0086,49.7279,35.2644,5.2083,64.9307,42.49615,45.2222775,38.438935875,28.9372,24.59662,32.33809,29.751042800000004
820150,Botswana,Sub-Saharan Africa,Upper middle income,7.18,0.15,0.43,7789.0,64.8598461833333,0.0,2.0,9.5549,10.7465,46.1649,63.0237,41.6667,100.0,54.594300000000004,40.61020499999999,34.51867425,34.82061,29.5975185,52.61023999999999,48.40142079999999
820150,Brazil,Latin America & Caribbean,Upper middle income,2988.39,0.29,0.4,10279.0,50.9093833333333,18.0,1.0,85.3207,17.1336,52.6375,40.8132,38.5417,36.8753,46.725350000000006,55.387857499999996,55.387857499999996,34.69663,34.69663,40.32683,40.32683
820150,Bulgaria,Europe & Central Asia,High income,1012.3,0.08,0.35,16506.0,56.3543963,1.7,1.0,71.4305,7.5523,63.6893,49.4822,33.3333,94.0382,56.585750000000004,61.3333125,61.3333125,41.157425,41.157425,53.812585000000006,53.812585000000006
820150,Cambodia,East Asia & Pacific,Lower middle income,34.69,1.3,0.99,2663.0,41.3201718333333,0.0,2.0,28.4693,63.0598,21.1245,25.5462,100.0,100.0,23.33535,44.4376075,37.771966375,58.674859999999995,49.873630999999996,79.63943499999999,73.26828019999999
820150,Cameroon,Sub-Saharan Africa,Lower middle income,14.11,-0.33,0.99,1816.0,35.33635815,20.0,2.0,17.4339,0.0,12.195,16.0194,100.0,29.8615,14.1072,20.51861,17.4408185,19.998105000000002,16.998389250000002,47.112559999999995,43.3435552
820150,Canada,North America,High income,4906.18,-0.0,0.38,55553.0,80.6948209166667,0.0,1.0,91.6842,3.9016,92.0098,88.2345,36.4583,100.0,90.12215,80.84529749999999,80.84529749999999,47.776235,47.776235,61.52628,61.52628
820150,Chile,Latin America & Caribbean,High income,2289.02,0.19,0.38,16636.0,69.76376425,0.0,1.0,81.8989,12.5715,63.8723,70.8312,36.4583,100.0,67.35175,70.3177925,70.3177925,47.065865,47.065865,59.571194999999996,59.571194999999996
820150,Colombia,Latin America & Caribbean,Upper middle income,1295.69,0.19,0.4,7843.0,50.0432358,0.0,1.0,74.5967,12.5715,46.3261,39.4342,38.5417,100.0,42.88015,59.3011325,59.3011325,43.731715,43.731715,57.123005000000006,57.123005000000006
820150,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,39.89,-0.18,0.27,668.0,27.4112052666667,30.0,2.0,30.2157,0.0,0.0,3.4018,25.0,0.0,1.7009,12.420809999999998,10.557688499999998,7.202445,6.1220782499999995,11.94166,10.986327200000002
820150,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2.72,0.51,0.93,2365.0,36.2473754166667,30.0,2.0,0.0,27.1648,18.3561,17.4698,93.75,0.0,17.912950000000002,13.673512500000001,11.622485625000001,20.673975000000002,17.57287875,38.678515,35.5842338
820150,Costa Rica,Latin America & Caribbean,High income,297.7,0.08,0.1,18566.0,68.4449775666667,0.0,1.0,55.7471,7.5523,66.4337,68.7316,7.2917,100.0,67.58265,59.2852275,59.2852275,38.492805000000004,38.492805000000004,46.01791500000001,46.01791500000001
820150,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,24.42,1.04,0.8,2714.0,47.3445076666667,15.0,1.0,24.1126,51.2757,21.567,35.1376,80.2083,47.3961,28.3523,34.610115,34.610115,41.898664999999994,41.898664999999994,55.22958,55.22958
820150,Croatia,Europe & Central Asia,High income,1266.44,0.08,0.3,23843.0,63.8111137666667,1.7,1.0,74.3038,7.5523,72.2712,61.354,28.125,94.0382,66.8126,65.65794999999999,65.65794999999999,42.090275000000005,42.090275000000005,53.29969500000001,53.29969500000001
820150,Czech Republic,Europe & Central Asia,High income,6095.9,0.11,0.04,32094.0,75.6573415666667,1.7,1.0,94.4713,8.9213,79.2061,80.2144,1.0417,94.0382,79.71025,76.0134875,76.0134875,44.175985000000004,44.175985000000004,47.332404999999994,47.332404999999994
820150,Denmark,Europe & Central Asia,High income,2865.36,0.17,0.3,71216.0,88.0847232166667,1.7,1.0,84.7811,11.659,97.806,100.0,28.125,94.0382,98.90299999999999,80.96731499999999,80.96731499999999,48.308255,48.308255,58.17247,58.17247
820150,Dominica,Latin America & Caribbean,Upper middle income,2.38,0.0,0.79,10478.0,63.82765745,30.0,3.0,0.0,3.9016,53.0849,61.3804,79.1667,0.0,57.23265,24.379922500000003,17.06594575,15.005495,10.5038465,34.01685,28.574153999999997
820150,Dominican Republic,Latin America & Caribbean,Upper middle income,207.8,0.12,0.17,10991.0,57.2607408,0.0,1.0,51.1499,9.3776,54.2002,50.9252,14.5833,100.0,52.5627,52.966334999999994,52.966334999999994,37.669245000000004,37.669245000000004,46.882055,46.882055
820150,Ecuador,Latin America & Caribbean,Upper middle income,1837.62,0.32,0.15,6716.0,45.4722697833333,0.0,1.0,79.0802,18.502,42.7064,32.1568,12.5,100.0,37.4316,58.25433,58.25433,43.33089,43.33089,48.801480000000005,48.801480000000005
820150,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,60.1,-0.2,0.99,2645.0,41.6013743333333,30.0,2.0,35.3722,0.0,20.9663,25.9939,100.0,0.0,23.4801,25.598305,21.758559249999998,17.65384,15.005764,40.88523,37.614411600000004
820150,El Salvador,Latin America & Caribbean,Upper middle income,384.96,0.25,0.34,5570.0,48.2970158666667,30.0,2.0,59.0377,15.3089,38.3409,36.6541,32.2917,0.0,37.4975,36.93279499999999,31.39287574999999,21.19269,18.0137865,23.25195,21.391794
820150,Estonia,Europe & Central Asia,High income,825.78,0.1,0.04,31220.0,79.5180832833333,1.7,1.0,68.8187,8.4649,78.5618,86.3611,1.0417,94.0382,82.46145,67.9523575,67.9523575,40.44347500000001,40.44347500000001,44.973805,44.973805
820150,Eswatini,Sub-Saharan Africa,Lower middle income,3.15,0.23,0.78,3946.0,40.28727715,0.0,2.0,0.8425,14.3965,30.2987,23.9018,78.125,100.0,27.100250000000003,30.1258625,25.606983125,35.687675,30.33452375,62.2975,57.313700000000004
820150,Fiji,East Asia & Pacific,Upper middle income,19.89,0.08,0.52,6383.0,63.5034451166667,0.0,1.0,21.5927,7.5523,41.5198,60.8642,51.0417,100.0,51.19199999999999,43.78195999999999,43.78195999999999,36.10558,36.10558,56.275909999999996,56.275909999999996
820150,Finland,Europe & Central Asia,High income,1184.9,-0.08,0.08,53236.0,87.6481700833333,1.7,1.0,73.45,0.251,91.0156,99.305,5.2083,94.0382,95.1603,73.40485,73.40485,39.94985,39.94985,46.933045,46.933045
820150,France,Europe & Central Asia,High income,44197.94,0.3,0.04,45961.0,72.1121890333333,1.7,1.0,100.0,17.5897,87.5866,74.5702,1.0417,94.0382,81.0784,79.294225,79.294225,48.176045,48.176045,49.32235,49.32235
820150,French Polynesia,East Asia & Pacific,High income,79.78,-0.0,0.1,23288.0,73.9634,10.0,2.0,38.9572,3.9016,71.7216,77.5175,7.2917,64.9307,74.61955,50.2462125,42.709280625,28.386405000000003,24.12844425,33.974219999999995,31.256282399999996
820150,Gabon,Sub-Saharan Africa,Upper middle income,7.66,-0.09,0.57,8143.0,41.6465937166667,20.0,2.0,10.2871,0.0,47.2019,26.0659,56.25,29.8615,36.6339,23.714074999999998,20.15696375,16.803755000000002,14.283191750000002,33.338049999999996,30.671006
820150,"Gambia, The",Sub-Saharan Africa,Low income,0.68,54.98,0.26,913.0,49.3052879833333,15.0,2.0,0.0,100.0,0.0,38.2593,23.9583,47.3961,19.12965,25.0027075,21.252301375,48.788015,41.46981275,39.5172,36.355824000000005
820150,Georgia,Europe & Central Asia,Upper middle income,437.03,0.17,0.25,8790.0,58.0438905333333,0.0,2.0,60.6626,11.659,48.9859,52.172,22.9167,100.0,50.57895,56.2462775,47.809335874999995,40.529605000000004,34.45016425,50.89385,46.822342
820150,Germany,Europe & Central Asia,High income,34209.76,0.04,0.21,55102.0,80.23854045,1.7,1.0,100.0,5.727,91.8196,87.5081,18.75,94.0382,89.66385,81.99827749999999,81.99827749999999,46.653475,46.653475,54.59939500000001,54.59939500000001
820150,Greece,Europe & Central Asia,High income,1080.66,-0.02,0.65,25536.0,62.0527092,1.7,1.0,72.2687,2.989,73.872,58.5545,64.5833,94.0382,66.21325,66.1024775,66.1024775,43.77375000000001,43.77375000000001,65.11216,65.11216
820150,Guatemala,Latin America & Caribbean,Upper middle income,361.38,0.21,0.26,6105.0,43.9376937833333,0.0,1.0,58.2283,13.484,40.4808,29.7136,23.9583,100.0,35.0972,50.21024,50.21024,39.359195,39.359195,49.740555,49.740555
820150,Honduras,Latin America & Caribbean,Lower middle income,120.45,0.13,0.63,3414.0,40.87297195,0.0,1.0,44.1926,9.8339,26.9201,24.8342,62.5,100.0,25.87715,43.6328025,43.6328025,38.908469999999994,38.908469999999994,60.357060000000004,60.357060000000004
820150,"Hong Kong, China",East Asia & Pacific,High income,191.47,-0.32,0.99,54899.0,74.31467595,0.0,2.0,50.1043,0.0,91.7334,78.0767,100.0,100.0,84.90505,67.2532725,57.16528162499999,46.00615,39.1052275,78.500935,72.2208602
820150,Hungary,Europe & Central Asia,High income,2268.29,0.05,0.06,22887.0,59.9810129333333,1.7,1.0,81.7822,6.1833,71.3163,55.2561,3.125,94.0382,63.2862,65.65424999999999,65.65424999999999,39.880245,39.880245,44.739545,44.739545
820150,Iceland,Europe & Central Asia,High income,92.56,0.36,,85166.0,82.8862123833333,0.0,1.0,40.8429,20.3263,100.0,91.7235,,100.0,95.86175,,,,,,
820150,India,South Asia,Lower middle income,1639.05,0.18,0.78,2682.0,53.1102808333333,10.0,1.0,77.6128,12.1153,21.2903,44.3172,78.125,64.9307,32.80375,53.5031775,53.5031775,39.96129,39.96129,59.681909999999995,59.681909999999995
820150,Indonesia,East Asia & Pacific,Upper middle income,1410.51,0.07,0.99,4924.0,51.8624433333333,0.0,2.0,75.6861,7.096,35.4647,42.3306,100.0,100.0,38.89765,60.8139125,51.691825625,47.72628,40.567338,77.52277500000001,71.32095300000002
820150,Ireland,Europe & Central Asia,High income,1159.74,0.3,0.08,107190.0,82.2353917166667,1.7,1.0,73.1747,17.5897,100.0,90.6873,5.2083,94.0382,95.34365,75.10653749999999,75.10653749999999,45.995435,45.995435,49.524654999999996,49.524654999999996
820150,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,894.0,0.11,0.17,57514.0,64.86203815,12.0,2.0,69.8366,8.9213,92.8193,63.0272,14.5833,57.9169,77.92325,62.0247775,52.721060875,34.43198,29.267183000000003,38.593405,35.5059326
820150,Italy,Europe & Central Asia,High income,9096.22,0.35,0.21,39936.0,67.5126612333333,1.7,1.0,99.6094,19.8702,84.3075,67.2473,18.75,94.0382,75.7774,78.41563,78.41563,50.15636000000001,50.15636000000001,55.29317,55.29317
820150,Jamaica,Latin America & Caribbean,Upper middle income,32.81,0.07,0.4,7236.0,58.6469275833333,0.0,2.0,27.7746,7.096,44.4465,53.1321,38.5417,100.0,48.7893,44.43404999999999,37.768942499999994,35.38289,30.0754565,52.210384999999995,48.0335542
820150,Japan,East Asia & Pacific,High income,9207.9,0.02,0.46,32453.0,81.2880644666667,0.0,1.0,99.7661,4.8143,79.4657,89.179,44.7917,100.0,84.32235,82.1519725,82.1519725,49.561325,49.561325,64.80808499999999,64.80808499999999
820150,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,155.65,0.21,0.61,4580.0,55.3766757333333,2.5,2.0,47.4604,13.484,33.7749,47.9256,60.4167,91.2327,40.85025,48.962867499999994,41.61843737499999,40.211695000000006,34.17994075000001,59.369319999999995,54.6197744
820150,Kazakhstan,Europe & Central Asia,Upper middle income,1052.38,1.2,0.99,14007.0,51.7217678,9.0,2.0,71.9286,58.5316,59.8584,42.1066,100.0,68.4377,50.9825,64.1377,54.517044999999996,60.061139999999995,51.05196899999999,76.60216000000001,70.47398720000001
820150,Kenya,Sub-Saharan Africa,Lower middle income,448.47,0.49,0.94,2169.0,44.8551881166667,10.0,1.0,60.9936,26.2533,16.3381,31.1743,94.7917,64.9307,23.7562,46.766949999999994,46.766949999999994,43.178625000000004,43.178625000000004,65.06928,65.06928
820150,"Korea, Rep.",East Asia & Pacific,High income,4739.71,0.06,0.46,36143.0,73.35827115,3.7,1.0,91.2411,6.6397,81.9787,76.554,44.7917,87.0244,79.26635,75.6348225,75.6348225,45.820745,45.820745,59.831115000000004,59.831115000000004
820150,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,104.35,0.12,0.63,32267.0,57.8910858666667,5.0,1.0,42.3667,9.3776,79.3315,51.9288,62.5,82.4654,65.63015,54.231467499999994,54.231467499999994,38.94326,38.94326,58.82094500000001,58.82094500000001
820150,Kyrgyz Republic,Europe & Central Asia,Lower middle income,111.65,1.59,0.99,2240.0,41.0970939833333,9.0,2.0,43.2269,76.1571,17.0895,25.1911,100.0,68.4377,21.1403,45.409885,38.59840225,58.94059,50.0995015,73.39159500000001,67.52026740000001
